type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,5.5,0.17,0.29,2.2,0.079,40.76,89.95,0.99,3.29,0.5,10.9,3
red,10.6,0.59,0.42,11.3,0.178,45.93,131.02,0.995,3.33,0.64,10.9,3
red,7.4,0.11,0.66,3.3,0.143,15.74,3.11,0.996,3.42,0.48,11.8,4
red,5.6,0.06,0.46,0.5,0.15,52.94,119.4,0.993,2.96,0.59,10.4,3
red,5.1,0.47,0.46,6.2,0.094,2.37,22.86,0.996,3.26,0.93,11.2,8
red,4.7,0.56,0.37,1.4,0.089,5.27,33.3,0.996,3.06,0.71,13.3,8
red,5.9,0.32,0.33,7.8,0.053,52.0,42.0,1.0,2.93,0.39,11.3,4
red,8.4,0.68,0.31,6.1,0.092,0.07,65.15,0.99,3.1,0.3,10.3,6
red,7.1,0.42,0.59,4.2,0.025,24.0,56.0,0.99,3.43,0.52,12.2,6
red,8.8,0.79,0.09,1.7,0.006,1.45,24.56,0.993,3.29,0.65,10.3,3
red,8.1,0.25,0.46,3.5,0.118,16.73,162.09,0.997,3.51,0.59,11.5,3
red,4.9,0.34,0.28,6.1,0.099,44.6,9.81,0.998,3.54,0.48,9.8,3
red,10.1,0.08,0.23,0.6,0.049,1.0,51.0,0.991,3.31,0.5,9.8,7
red,6.4,0.18,0.31,8.3,0.094,25.69,15.65,1.0,3.23,0.49,10.6,3
red,7.8,1.08,0.44,5.5,0.006,37.86,137.58,0.998,3.06,0.54,11.0,3
red,8.5,0.43,0.53,5.9,0.1,34.26,79.51,0.993,3.41,0.58,10.7,3
red,9.8,0.45,0.35,10.5,0.066,0.07,93.36,0.994,3.22,0.48,8.7,6
red,9.2,0.53,0.26,7.4,0.086,57.55,105.31,0.997,3.24,0.41,10.8,3
red,7.2,0.27,0.32,8.8,0.034,28.57,64.46,0.989,3.2,0.55,10.4,3
red,8.5,0.43,0.31,4.6,0.073,45.55,10.19,0.994,3.32,0.72,10.1,8
red,9.8,0.3,0.39,1.7,0.062,3.0,9.0,0.995,3.14,0.57,11.5,7
red,7.7,0.36,0.37,0.5,0.006,1.45,91.52,0.998,3.1,0.42,11.0,3
red,6.6,0.38,0.42,7.2,0.085,3.0,90.0,0.994,3.46,0.41,9.8,5
red,7.2,0.38,0.42,7.6,0.057,15.46,73.0,0.997,3.13,0.41,10.7,3
red,5.8,1.01,0.35,10.0,0.064,32.42,21.55,0.992,3.1,0.32,11.4,3
red,7.0,0.41,0.38,2.8,0.019,61.0,149.0,0.997,2.96,0.55,10.2,5
red,7.5,0.42,0.48,8.4,0.006,23.12,129.52,0.991,3.35,0.51,12.2,3
red,7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6
red,8.4,0.31,0.19,8.4,0.009,22.0,119.0,0.997,3.18,0.61,11.9,5
red,8.1,0.62,0.55,1.3,0.093,27.02,65.98,0.997,3.07,0.53,11.6,8
red,6.1,0.45,0.45,5.0,0.055,1.6,73.1,0.994,3.27,0.55,12.4,3
red,8.5,0.76,0.45,13.5,0.082,28.01,186.32,0.995,3.07,0.48,9.9,3
red,6.4,0.44,0.31,10.1,0.028,21.0,215.0,1.0,2.9,0.23,11.3,6
red,9.0,0.18,0.33,1.4,0.003,38.69,182.62,0.995,3.08,0.77,9.3,6
red,9.5,0.35,0.11,5.9,0.079,40.03,16.38,0.995,3.45,0.66,11.5,3
red,7.9,0.58,0.24,4.3,0.1,10.49,26.25,0.999,3.35,0.42,10.5,3
red,6.5,0.52,0.44,2.8,0.058,28.13,86.28,0.995,3.28,0.64,10.7,8
red,8.6,0.45,0.01,3.3,0.009,61.0,155.0,0.995,3.14,0.63,10.0,5
red,6.8,0.26,0.44,7.4,0.098,23.12,82.84,0.998,3.44,0.78,11.4,3
red,10.0,0.59,0.51,3.3,0.143,31.16,134.02,0.999,3.4,0.4,10.1,5
red,7.7,0.06,0.23,6.3,0.084,21.96,150.74,0.997,3.24,0.57,10.2,3
red,9.5,0.71,0.08,10.8,0.048,19.33,134.83,0.993,3.46,0.64,12.4,3
red,7.2,0.07,0.47,0.5,0.108,9.32,160.42,0.993,3.14,0.71,9.2,3
red,5.4,0.32,0.46,2.0,0.057,25.2,10.19,0.992,3.34,0.86,12.2,8
red,7.2,0.45,0.46,3.1,0.062,19.13,225.14,0.996,3.38,0.45,9.3,3
red,7.4,0.62,0.24,1.6,0.117,24.04,82.22,0.998,3.5,0.47,12.0,3
red,6.7,0.49,0.72,1.0,0.094,28.24,32.8,0.993,3.22,0.45,10.9,8
red,11.1,0.57,0.34,0.5,0.053,2.37,108.63,0.991,3.31,0.61,9.3,8
red,6.0,0.44,0.35,0.9,0.065,22.35,23.12,0.994,3.14,0.4,13.0,8
red,6.3,0.14,0.37,4.9,0.009,16.36,146.72,0.992,3.07,0.45,9.7,3
red,7.8,0.41,0.05,8.0,0.057,35.66,133.86,0.992,3.28,0.77,11.1,8
red,6.6,0.5,0.4,2.7,0.04,43.52,111.8,0.996,3.3,0.76,10.0,5
red,4.0,0.82,0.0,10.2,0.042,46.75,160.94,0.995,3.25,0.48,10.5,5
red,7.4,0.6,0.51,5.1,0.053,37.0,103.0,0.993,3.22,0.32,12.6,6
red,8.3,0.07,0.31,3.6,0.071,26.06,48.44,0.997,2.83,0.65,10.7,6
red,6.7,0.3,0.41,2.8,0.01,28.0,109.0,0.994,3.3,0.43,9.2,5
red,6.7,0.34,0.3,8.0,0.024,38.97,154.28,0.997,3.53,0.79,8.8,7
red,7.6,0.67,0.48,2.2,0.066,11.5,39.97,0.997,3.25,0.6,9.8,3
red,7.7,0.6,0.06,2.0,0.079,19.0,41.0,0.997,3.39,0.62,10.1,6
red,9.6,0.56,0.59,6.1,0.075,5.53,111.39,0.992,3.04,0.55,13.1,8
red,7.9,0.47,0.73,4.0,0.02,29.09,10.19,0.991,3.57,0.94,10.1,8
red,8.6,0.22,0.57,2.3,0.126,37.43,105.69,0.996,3.27,0.68,8.4,3
red,7.8,0.52,0.12,4.8,0.076,11.56,133.97,0.995,3.14,0.76,9.8,3
red,8.2,0.49,0.2,6.3,0.116,10.56,190.21,0.999,3.32,0.38,12.4,3
red,9.5,0.52,0.29,7.0,0.026,1.0,29.0,0.998,3.4,0.49,12.4,6
red,6.7,0.61,0.29,3.3,0.052,33.43,189.19,0.995,3.11,0.86,11.4,3
red,7.3,0.29,0.04,6.4,0.041,30.97,123.14,0.998,3.65,0.49,9.1,5
red,9.0,0.37,0.18,12.2,0.017,39.77,39.0,0.992,3.4,0.63,9.6,3
red,6.1,0.86,0.18,9.8,0.046,10.0,65.0,0.997,3.18,0.57,11.5,4
red,7.5,0.68,0.3,8.8,0.137,24.53,40.61,0.999,3.4,0.6,9.9,3
red,6.6,0.55,0.54,0.8,0.081,18.42,42.28,0.996,3.33,0.86,10.2,8
red,6.1,0.47,0.12,7.5,0.044,24.0,118.0,0.995,3.07,0.5,11.4,6
red,6.8,0.29,0.14,10.6,0.035,30.11,94.92,0.998,3.54,0.74,9.9,3
red,8.7,0.34,0.38,6.7,0.069,8.28,180.54,0.995,3.26,0.5,12.4,5
red,5.1,1.09,0.42,1.0,0.089,19.14,190.16,0.995,3.25,0.46,10.9,3
red,6.3,0.53,0.48,4.5,0.09,32.84,97.35,0.996,3.32,0.47,11.7,8
red,9.0,0.11,0.57,6.5,0.055,30.74,44.69,0.995,3.06,0.82,8.9,8
red,6.7,0.38,0.37,0.5,0.112,13.95,223.81,1.001,3.49,0.44,9.4,3
red,6.9,0.26,0.26,4.5,0.04,35.58,108.79,0.993,2.93,0.59,9.3,4
red,6.1,0.58,0.41,8.6,0.016,5.5,73.73,0.997,3.26,0.68,9.6,3
red,8.7,0.24,0.2,12.3,0.087,41.0,102.0,0.995,3.08,0.46,10.0,5
red,8.1,0.59,0.31,0.6,0.087,6.33,80.01,0.999,3.0,0.52,11.2,3
red,8.4,0.34,0.32,5.4,0.064,2.37,109.02,0.993,3.34,0.46,11.7,8
red,8.9,0.59,0.19,4.3,0.111,49.21,6.86,0.996,3.0,0.44,10.8,3
red,5.6,0.85,0.05,1.4,0.045,12.0,88.0,0.992,3.56,0.82,12.9,8
red,8.2,0.48,0.28,2.3,0.035,29.29,29.56,0.992,3.15,0.77,12.6,8
red,7.7,0.15,0.44,5.1,0.055,14.93,130.88,0.997,3.12,0.47,10.2,3
red,8.2,0.42,0.3,1.7,0.094,9.12,93.99,0.994,3.14,0.52,10.0,5
red,6.9,0.99,0.59,6.1,0.116,1.45,113.12,0.99,3.28,0.43,11.3,3
red,8.3,0.39,0.57,2.5,0.064,23.1,52.92,0.997,3.14,0.61,9.9,8
red,7.9,0.38,0.29,9.0,0.006,14.64,177.64,0.992,3.45,0.59,10.3,3
red,7.0,0.33,0.43,5.1,0.062,2.88,20.44,0.998,3.37,0.93,14.1,8
red,4.3,0.07,0.44,5.5,0.069,22.29,6.86,0.993,3.25,0.71,10.6,3
red,7.7,0.41,0.02,3.4,0.077,53.79,116.65,0.999,3.56,0.93,11.6,8
red,8.3,0.26,0.32,7.5,0.009,8.32,203.97,0.994,3.43,0.87,10.6,3
red,4.7,0.33,0.42,2.1,0.094,21.38,127.67,0.995,3.41,0.77,13.7,8
red,8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.996,3.27,0.81,11.0,6
red,6.0,0.6,0.44,2.7,0.087,25.69,140.73,1.002,3.49,0.39,11.4,5
red,8.4,0.43,0.47,5.9,0.033,45.26,125.18,0.995,3.24,0.37,9.6,8
red,8.7,0.5,0.02,0.5,0.022,9.63,131.84,0.995,3.19,0.81,12.1,8
red,7.1,0.28,0.55,2.8,0.094,27.65,120.37,0.994,3.09,0.72,10.5,8
red,4.7,0.38,0.02,3.1,0.063,53.85,137.86,0.997,3.09,0.58,9.8,8
red,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.997,3.4,0.61,10.2,6
red,7.7,0.77,0.06,5.0,0.128,38.41,92.01,0.997,3.13,0.74,11.3,3
red,6.1,0.48,0.07,1.7,0.087,27.71,39.88,0.996,3.25,0.73,12.6,8
red,8.8,0.3,0.38,2.3,0.06,19.0,72.0,0.995,3.39,0.72,11.8,6
red,7.7,0.31,0.33,6.8,0.094,34.87,116.5,0.999,3.31,0.95,12.8,8
red,4.5,0.53,0.33,3.9,0.01,16.07,65.15,1.002,3.37,0.4,12.3,4
red,7.4,0.71,0.18,0.5,0.105,19.39,225.14,0.998,3.09,0.63,10.3,3
red,11.0,0.44,0.49,5.4,0.093,34.54,10.19,0.999,3.45,0.66,9.9,8
red,7.8,0.47,0.22,4.9,0.006,1.45,121.29,0.996,3.3,0.64,10.9,3
red,8.5,0.65,0.5,7.1,0.05,47.11,157.85,0.995,3.4,0.54,9.5,3
red,9.1,0.65,0.35,0.7,0.061,33.0,50.46,0.993,3.35,0.57,10.2,8
red,10.1,0.18,0.38,2.9,0.006,57.55,95.81,0.994,3.4,0.85,10.6,3
red,6.7,0.12,0.29,1.3,0.118,23.22,28.39,0.993,3.18,0.5,8.8,3
red,9.6,0.4,0.32,1.7,0.069,50.92,119.24,0.994,3.36,0.57,12.7,8
red,5.1,0.7,0.21,8.3,0.073,20.22,10.19,0.995,3.6,0.95,12.0,8
red,8.2,0.85,0.38,4.2,0.057,1.45,212.7,0.995,2.95,0.39,8.7,3
red,8.8,0.72,0.19,8.0,0.117,1.45,142.9,0.995,2.9,0.67,10.5,3
red,8.9,0.86,0.39,0.5,0.059,49.71,10.19,0.993,3.46,0.69,11.4,8
red,7.8,0.92,0.21,6.5,0.075,27.06,146.52,0.996,3.25,0.76,10.8,3
red,7.7,0.45,0.33,5.7,0.099,20.11,133.78,0.996,3.05,0.72,10.2,6
red,8.0,0.51,0.29,3.2,0.205,25.29,171.42,0.995,3.1,0.36,10.1,4
red,12.7,0.34,0.46,8.0,0.077,2.37,10.19,0.994,3.21,0.48,12.8,8
red,5.4,0.16,0.11,1.2,0.139,1.45,138.8,0.997,3.36,0.53,11.6,3
red,9.2,0.84,0.11,1.3,0.097,33.37,65.17,0.996,3.07,0.6,10.6,3
red,6.2,0.96,0.56,1.1,0.006,39.38,225.14,1.001,3.03,0.72,10.4,3
red,8.7,0.06,0.12,3.6,0.083,24.79,6.86,0.994,3.0,0.46,10.0,3
red,7.6,0.45,0.36,4.6,0.082,12.59,99.42,0.994,3.27,0.54,9.9,3
red,8.0,0.06,0.49,1.8,0.11,8.99,105.57,0.996,3.27,0.62,9.3,3
red,10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.996,3.06,0.84,11.4,6
red,8.6,0.13,0.33,11.2,0.119,22.0,139.0,1.002,3.43,0.36,8.0,4
red,9.3,0.51,0.64,0.5,0.117,25.56,96.32,0.994,3.35,0.78,11.7,3
red,8.9,0.58,0.33,0.5,0.076,34.71,215.68,0.994,3.46,0.46,11.3,3
red,9.0,0.51,0.43,7.9,0.051,23.51,103.83,0.998,3.29,0.34,10.5,5
red,7.7,0.22,0.42,7.5,0.105,23.21,130.48,0.995,3.04,0.55,9.8,5
red,8.8,0.37,0.12,0.5,0.053,2.37,10.67,0.994,3.23,0.63,14.1,8
red,8.4,0.42,0.23,2.7,0.07,42.44,3.11,0.996,3.45,0.64,11.0,4
red,7.3,0.58,0.18,2.4,0.078,15.0,60.0,0.996,3.31,0.54,9.8,5
red,8.1,0.78,0.18,11.3,0.036,6.43,192.93,0.995,3.06,0.47,9.6,3
red,7.3,0.28,0.6,2.6,0.006,1.45,140.29,0.993,3.21,0.5,11.6,3
red,7.5,0.53,0.07,7.7,0.056,11.8,21.21,1.001,3.18,0.66,10.7,3
red,9.2,0.25,0.29,6.6,0.032,5.3,114.34,0.99,3.48,0.52,8.9,3
red,6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.995,3.44,0.63,11.3,6
red,7.1,0.22,0.49,1.8,0.039,8.0,18.0,0.993,3.39,0.56,12.4,6
red,6.9,0.46,0.43,3.0,0.097,9.37,116.3,0.995,3.2,0.86,10.1,3
red,7.2,0.21,0.39,4.3,0.083,11.22,10.97,0.991,3.02,0.67,11.4,8
red,9.7,0.45,0.4,2.4,0.066,7.58,15.19,0.999,3.42,0.65,9.2,8
red,10.1,0.62,0.36,5.7,0.041,20.83,70.05,0.996,3.01,0.31,9.6,3
red,9.4,0.14,0.43,7.0,0.074,23.0,188.0,0.995,3.13,0.62,12.8,6
red,10.0,0.33,0.63,3.2,0.15,7.63,171.71,1.001,3.6,0.86,10.9,5
red,10.1,0.77,0.07,7.2,0.066,35.98,10.19,0.998,3.4,0.72,12.6,8
red,4.9,0.29,0.32,2.6,0.083,37.0,33.0,0.998,3.26,0.84,9.8,5
red,6.9,0.6,0.12,10.7,0.073,40.0,83.0,0.999,3.45,0.52,9.4,6
red,8.0,0.54,0.32,5.6,0.129,7.45,64.71,0.998,3.29,0.71,10.5,3
red,7.2,0.57,0.19,4.5,0.039,29.98,10.19,0.999,3.24,0.37,10.4,8
red,9.4,0.66,0.41,2.2,0.181,25.14,47.85,0.995,3.21,0.53,10.6,3
red,4.3,0.26,0.04,0.5,0.034,57.55,29.82,0.997,2.95,0.58,11.0,3
red,12.0,0.63,0.5,1.4,0.071,6.0,26.0,0.998,3.07,0.6,10.4,4
red,7.3,0.53,0.52,6.0,0.006,25.11,144.94,1.001,3.12,0.76,10.5,3
red,5.8,0.06,0.42,12.6,0.045,10.92,178.14,0.996,3.46,0.41,11.0,3
red,8.3,0.07,0.59,5.9,0.077,2.37,56.47,0.997,3.33,0.76,12.9,8
red,6.1,0.64,0.46,9.6,0.018,32.21,76.92,0.995,3.2,0.48,12.0,3
red,8.4,0.4,0.25,5.8,0.042,18.74,55.0,0.996,3.44,0.46,11.2,6
red,11.3,0.37,0.41,2.3,0.088,6.0,16.0,0.999,3.09,0.8,9.3,5
red,6.3,0.08,0.41,1.1,0.12,5.99,6.86,0.994,3.04,0.71,9.7,3
red,8.0,0.82,0.48,7.4,0.009,32.39,144.38,0.997,2.98,0.91,10.9,5
red,7.3,0.09,0.5,0.5,0.082,53.2,10.19,0.997,3.27,0.43,9.6,8
red,9.0,0.8,0.12,2.4,0.083,8.0,28.0,0.998,3.33,0.65,10.4,6
red,8.8,0.52,0.25,1.9,0.072,5.94,10.19,0.996,3.24,0.71,12.4,8
red,5.9,0.6,0.5,1.1,0.089,23.82,72.17,0.993,3.21,0.49,11.5,5
red,6.2,0.43,0.5,8.1,0.077,37.05,10.19,0.996,3.06,0.9,9.9,8
red,5.6,0.55,0.52,1.4,0.035,50.0,101.0,0.995,3.17,0.55,9.1,5
red,7.2,0.15,0.4,0.6,0.009,29.0,76.0,0.992,3.21,0.72,11.4,7
red,5.5,0.53,0.19,0.5,0.052,2.37,10.19,0.993,3.07,0.71,11.8,8
red,5.7,0.51,0.09,10.2,0.053,2.31,93.5,1.001,3.12,0.46,10.9,3
red,6.1,0.41,0.32,2.6,0.111,51.94,123.56,0.996,3.2,0.29,9.6,6
red,7.9,0.19,0.42,1.6,0.057,18.0,30.0,0.994,3.29,0.69,11.2,6
red,10.2,0.38,0.47,0.5,0.061,57.87,111.41,0.996,3.33,0.68,8.8,8
red,8.1,0.46,0.04,3.9,0.041,38.21,161.52,0.995,3.1,0.25,10.9,3
red,5.9,0.43,0.19,13.6,0.043,23.0,149.0,0.996,3.32,0.62,11.6,4
red,7.2,0.39,0.34,0.6,0.028,55.0,74.0,0.993,3.29,0.57,11.4,5
red,6.6,0.33,0.57,4.6,0.078,20.66,101.91,0.993,3.13,0.79,11.1,8
red,8.0,0.54,0.14,3.6,0.072,30.81,115.27,0.997,3.29,0.47,8.9,6
red,8.2,0.51,0.39,7.5,0.047,19.52,10.19,0.997,3.46,0.85,11.3,8
red,9.5,0.36,0.06,0.5,0.07,8.69,25.71,0.995,3.19,0.48,9.4,8
red,4.7,0.3,0.59,8.1,0.094,22.06,81.83,0.997,3.49,0.77,13.0,8
red,8.5,0.58,0.09,2.9,0.023,2.52,10.19,0.991,3.17,0.78,10.5,8
