type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_binned,Predicted_Quality
1,7.0,0.19,0.23,5.7,0.123,27.0,104.0,0.995,3.04,0.54,9.4,6,Medium Quality,Medium Quality
1,6.6,0.48,0.43,7.1,0.028,16.0,145.0,0.995,3.61,0.73,10.8,4,Medium Quality,High Quality
1,6.1,0.22,0.31,1.4,0.039,40.0,129.0,0.992,3.45,0.59,10.9,5,Medium Quality,Medium Quality
0,6.1,0.29,0.49,2.8,0.053,64.0,203.0,0.994,3.42,0.67,9.7,6,Medium Quality,Medium Quality
1,7.2,0.31,0.29,5.4,0.062,22.0,199.0,0.989,2.97,0.33,12.4,4,Medium Quality,High Quality
1,8.1,0.51,0.29,0.6,0.067,36.0,84.0,0.992,3.31,0.66,9.5,4,Medium Quality,Medium Quality
1,6.5,0.36,0.31,4.1,0.061,20.0,134.0,0.995,3.18,0.45,9.0,6,Medium Quality,Medium Quality
1,9.2,0.23,0.3,1.1,0.031,40.0,99.0,0.993,2.94,0.3,10.4,6,Medium Quality,Medium Quality
1,6.8,0.38,0.29,9.9,0.037,40.0,146.0,0.993,3.11,0.37,11.5,6,Medium Quality,High Quality
0,6.6,0.35,0.48,5.0,0.065,51.0,94.0,0.998,3.26,0.55,9.7,6,Medium Quality,Medium Quality
1,5.8,0.19,0.24,1.3,0.044,38.0,128.0,0.994,3.77,0.6,10.6,5,Medium Quality,Medium Quality
1,7.9,0.33,0.28,31.6,0.053,35.0,176.0,1.01,3.15,0.38,8.8,6,Medium Quality,Medium Quality
1,7.6,0.39,0.22,2.8,0.036,19.0,113.0,0.993,3.03,0.29,10.2,5,Medium Quality,Medium Quality
1,6.6,0.4,0.32,1.7,0.035,39.0,84.0,0.991,3.59,0.48,12.7,7,Medium Quality,High Quality
1,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.998,3.21,0.6,9.2,6,Medium Quality,Medium Quality
1,7.5,0.42,0.34,4.3,0.04,34.0,108.0,0.992,3.14,0.45,12.8,8,High Quality,High Quality
1,7.1,0.47,0.29,14.8,0.024,22.0,142.0,0.995,3.12,0.48,12.0,8,High Quality,High Quality
1,7.2,0.27,0.28,15.2,0.046,6.0,41.0,0.997,3.17,0.39,10.9,6,Medium Quality,Medium Quality
0,6.1,0.32,0.29,0.6,0.159,5.0,120.0,0.993,3.28,0.51,8.9,4,Medium Quality,Low Quality
1,7.1,0.36,0.4,2.0,0.033,26.0,118.0,0.989,3.2,0.45,13.5,7,Medium Quality,Medium Quality
0,6.9,0.6,0.12,10.7,0.073,40.0,83.0,0.999,3.45,0.52,9.4,6,Medium Quality,Medium Quality
1,6.7,0.25,0.31,1.4,0.061,30.0,218.0,0.994,3.16,0.53,9.5,5,Medium Quality,Medium Quality
1,7.3,0.24,0.39,3.6,0.024,35.0,116.0,0.993,3.17,0.51,10.9,5,Medium Quality,High Quality
1,9.5,0.21,0.31,7.9,0.122,33.0,139.0,0.999,2.74,0.39,12.9,4,Medium Quality,Medium Quality
0,7.5,0.65,0.18,7.0,0.088,27.0,94.0,0.999,3.38,0.77,9.4,5,Medium Quality,Medium Quality
1,7.6,0.18,0.36,2.4,0.049,38.0,123.0,0.996,3.6,0.46,10.3,5,Medium Quality,Medium Quality
0,8.6,0.42,0.39,1.8,0.068,6.0,12.0,0.995,3.35,0.69,11.7,8,High Quality,High Quality
1,8.0,0.18,0.37,1.3,0.04,15.0,96.0,0.991,3.06,0.61,12.1,6,Medium Quality,Medium Quality
0,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.998,3.14,1.22,9.5,5,Medium Quality,Medium Quality
0,10.3,0.59,0.42,2.8,0.09,35.0,73.0,0.999,3.28,0.7,9.5,6,Medium Quality,Medium Quality
0,12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.997,3.13,0.63,10.4,5,Medium Quality,Medium Quality
1,6.8,0.3,0.35,2.8,0.038,10.0,164.0,0.991,3.09,0.53,12.0,6,Medium Quality,Medium Quality
0,9.1,0.25,0.34,2.0,0.071,45.0,67.0,0.998,3.44,0.86,10.2,7,Medium Quality,Medium Quality
1,7.4,0.3,0.22,5.2,0.053,33.0,180.0,0.993,3.13,0.45,11.6,6,Medium Quality,Medium Quality
1,5.7,0.39,0.42,0.6,0.04,5.0,172.0,1.001,3.17,0.91,10.0,5,Medium Quality,Medium Quality
1,6.9,0.35,0.55,12.0,0.038,22.0,111.0,0.997,3.11,0.29,9.7,5,Medium Quality,Medium Quality
1,7.4,0.4,0.41,14.1,0.053,37.0,194.0,0.999,3.2,0.63,9.4,6,Medium Quality,Medium Quality
0,6.7,0.08,0.16,8.7,0.067,24.0,93.0,0.994,3.22,0.59,9.7,4,Medium Quality,Medium Quality
1,6.8,0.29,0.34,3.5,0.054,26.0,189.0,0.995,3.42,0.58,10.4,5,Medium Quality,Medium Quality
1,7.0,0.25,0.45,2.3,0.045,40.0,118.0,0.991,3.16,0.48,11.9,7,Medium Quality,High Quality
0,6.5,0.17,0.29,5.5,0.081,47.0,44.0,0.995,3.4,0.53,11.1,5,Medium Quality,Medium Quality
1,5.8,0.19,0.49,4.9,0.04,44.0,118.0,0.994,3.34,0.38,9.5,7,Medium Quality,Medium Quality
1,6.4,0.24,0.29,1.0,0.038,18.0,122.0,0.991,3.3,0.42,11.5,5,Medium Quality,Medium Quality
1,7.5,0.38,0.29,12.7,0.05,25.0,209.0,0.999,3.25,0.59,9.3,6,Medium Quality,Medium Quality
0,9.3,0.56,0.36,0.6,0.068,33.0,226.0,0.998,3.03,0.61,10.6,6,Medium Quality,Medium Quality
1,6.1,0.3,0.47,1.4,0.049,50.0,187.0,0.993,3.19,0.45,9.5,5,Medium Quality,Medium Quality
1,7.3,0.19,0.68,1.5,0.05,31.0,156.0,0.995,3.32,0.64,9.4,6,Medium Quality,Medium Quality
1,5.9,0.27,0.27,9.0,0.051,43.0,136.0,0.994,3.25,0.53,10.7,6,Medium Quality,Medium Quality
0,9.0,0.6,0.29,2.0,0.069,32.0,73.0,0.997,3.34,0.57,10.0,5,Medium Quality,Medium Quality
0,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.996,3.44,0.78,10.3,6,Medium Quality,Medium Quality
1,7.7,0.34,0.0,5.8,0.081,27.0,100.0,0.992,3.08,0.9,10.6,4,Medium Quality,Medium Quality
1,7.1,0.21,0.27,8.6,0.056,26.0,111.0,0.996,2.95,0.52,9.5,5,Medium Quality,Medium Quality
1,7.6,0.17,0.35,1.6,0.047,43.0,154.0,0.993,3.36,0.69,11.1,6,Medium Quality,Medium Quality
1,7.4,0.42,0.46,7.7,0.08,37.0,190.0,0.992,3.4,0.45,10.1,5,Medium Quality,Medium Quality
1,5.8,0.21,0.35,8.0,0.08,20.0,166.0,0.994,3.2,0.53,12.3,5,Medium Quality,Medium Quality
1,6.9,0.29,0.34,7.2,0.061,33.0,126.0,0.993,3.52,0.63,12.2,6,Medium Quality,High Quality
1,7.0,0.34,0.49,9.8,0.07,48.0,98.0,0.996,3.39,0.5,10.1,6,Medium Quality,Medium Quality
1,6.3,0.23,0.3,1.8,0.033,16.0,91.0,0.991,3.28,0.4,11.8,6,Medium Quality,Medium Quality
1,7.2,0.32,0.24,5.6,0.033,23.0,120.0,0.993,2.92,0.66,10.3,7,Medium Quality,Medium Quality
1,6.9,0.24,0.37,6.1,0.027,38.0,112.0,0.991,3.19,0.34,12.4,6,Medium Quality,High Quality
1,6.5,0.35,0.38,0.6,0.046,33.0,95.0,1.0,3.36,0.33,11.8,6,Medium Quality,Medium Quality
1,6.6,0.25,0.34,3.0,0.054,22.0,141.0,0.993,3.26,0.47,10.4,6,Medium Quality,Medium Quality
1,6.8,0.18,0.37,1.6,0.055,47.0,154.0,0.993,3.08,0.45,9.1,5,Medium Quality,Medium Quality
1,5.1,0.31,0.3,0.9,0.037,28.0,152.0,0.992,3.54,0.56,10.1,6,Medium Quality,Medium Quality
1,4.9,0.24,0.27,11.8,0.03,34.0,118.0,0.995,3.07,0.5,9.4,6,Medium Quality,Medium Quality
0,7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.995,3.4,0.85,11.0,7,Medium Quality,Medium Quality
1,6.8,0.23,0.41,4.2,0.085,38.0,235.0,1.001,3.36,0.42,9.8,5,Medium Quality,Low Quality
1,6.7,0.33,0.42,6.4,0.058,27.0,151.0,0.995,3.16,0.44,9.6,5,Medium Quality,Medium Quality
1,6.9,0.23,0.32,16.4,0.045,62.0,153.0,0.997,3.22,0.42,10.5,5,Medium Quality,Medium Quality
1,8.4,0.3,0.35,11.4,0.048,11.0,178.0,0.989,3.07,0.64,10.2,5,Medium Quality,Medium Quality
1,6.6,0.22,0.36,5.5,0.029,30.0,105.0,0.992,3.2,0.47,11.8,6,Medium Quality,High Quality
0,5.6,0.35,0.25,3.4,0.095,47.0,88.0,1.0,2.95,0.36,10.5,6,Medium Quality,Low Quality
0,11.1,0.45,0.73,3.2,0.066,6.0,22.0,0.999,3.17,0.66,11.2,6,Medium Quality,High Quality
0,7.4,0.55,0.19,1.8,0.082,15.0,34.0,0.997,3.49,0.68,10.5,5,Medium Quality,Medium Quality
0,6.6,0.25,0.0,0.6,0.009,23.0,83.0,1.0,3.33,0.58,11.5,6,Medium Quality,Medium Quality
0,8.1,0.33,0.44,1.5,0.042,6.0,12.0,0.995,3.35,0.61,10.7,5,Medium Quality,Medium Quality
0,8.3,0.54,0.24,3.4,0.076,16.0,112.0,0.998,3.27,0.61,9.4,5,Medium Quality,Medium Quality
1,7.4,0.18,0.3,10.4,0.045,44.0,174.0,0.997,3.11,0.57,9.7,6,Medium Quality,Medium Quality
1,6.0,0.16,0.27,12.0,0.03,39.0,98.0,0.994,3.15,0.34,10.8,5,Medium Quality,Medium Quality
1,7.1,0.21,0.33,1.2,0.039,34.0,97.0,0.991,3.11,0.75,11.2,6,Medium Quality,Medium Quality
1,5.7,0.25,0.21,1.5,0.044,21.0,108.0,0.991,3.3,0.59,11.0,6,Medium Quality,Medium Quality
1,6.8,0.31,0.09,1.4,0.04,56.0,145.0,0.992,3.19,0.46,10.0,5,Medium Quality,Medium Quality
1,6.8,0.31,0.19,3.5,0.086,30.0,130.0,0.993,2.83,0.44,9.6,5,Medium Quality,Medium Quality
1,6.8,0.32,0.21,2.2,0.044,15.0,68.0,0.993,3.17,0.39,9.4,6,Medium Quality,Medium Quality
1,5.8,0.25,0.28,11.1,0.056,45.0,175.0,0.998,3.42,0.43,9.5,5,Medium Quality,Medium Quality
1,6.6,0.25,0.35,14.0,0.069,42.0,163.0,0.999,3.56,0.47,9.8,5,Medium Quality,Medium Quality
1,9.4,0.44,0.48,4.8,0.085,7.0,167.0,0.996,3.27,0.51,11.1,5,Medium Quality,Low Quality
0,7.2,0.64,0.0,1.9,0.097,15.0,39.0,0.997,3.37,0.58,9.2,6,Medium Quality,Medium Quality
1,7.1,0.32,0.34,14.5,0.039,46.0,150.0,0.995,3.38,0.5,12.5,8,High Quality,High Quality
1,8.6,0.2,0.42,1.5,0.041,35.0,125.0,0.992,3.11,0.49,11.4,7,Medium Quality,Medium Quality
1,7.4,0.2,1.66,2.1,0.022,34.0,113.0,0.992,3.26,0.55,12.2,6,Medium Quality,Medium Quality
0,7.5,0.28,0.35,0.6,0.066,55.0,37.0,0.993,3.22,0.22,10.7,5,Medium Quality,Medium Quality
0,8.3,0.72,0.15,1.8,0.089,10.0,52.0,0.997,3.23,0.77,9.5,5,Medium Quality,Medium Quality
0,7.7,0.66,0.3,2.9,0.088,55.0,185.0,0.994,3.36,0.44,8.0,4,Medium Quality,Low Quality
0,7.6,0.64,0.03,1.9,0.086,14.0,57.0,0.997,3.37,0.46,10.3,5,Medium Quality,Medium Quality
1,7.9,0.27,0.27,1.7,0.034,25.0,122.0,0.991,2.97,0.51,11.9,6,Medium Quality,Medium Quality
0,8.0,0.7,0.05,1.9,0.074,8.0,19.0,0.996,3.34,0.95,10.5,6,Medium Quality,Medium Quality
1,6.5,0.26,0.74,13.3,0.044,68.0,224.0,0.997,3.18,0.54,9.5,6,Medium Quality,Medium Quality
1,6.8,0.32,0.18,11.8,0.044,4.0,77.0,0.997,3.15,0.39,9.9,5,Medium Quality,Medium Quality
1,6.3,0.42,0.47,5.4,0.019,36.0,68.0,0.998,3.43,0.41,10.3,5,Medium Quality,Medium Quality
1,8.5,0.25,0.25,2.3,0.114,33.0,128.0,0.993,3.16,0.46,11.9,5,Medium Quality,Medium Quality
1,8.0,0.25,0.13,17.2,0.036,49.0,219.0,1.0,2.96,0.46,9.7,5,Medium Quality,Medium Quality
1,6.4,0.28,0.33,7.8,0.038,1.0,25.0,0.996,2.96,0.34,12.8,6,Medium Quality,High Quality
1,6.5,0.08,0.43,8.9,0.011,10.0,127.0,0.994,3.1,0.26,11.6,4,Medium Quality,Medium Quality
0,7.5,0.38,0.48,2.6,0.073,22.0,84.0,0.997,3.32,0.7,9.6,4,Medium Quality,Medium Quality
1,7.2,0.27,0.27,2.4,0.048,30.0,149.0,0.994,3.1,0.51,9.2,6,Medium Quality,Medium Quality
1,6.9,0.23,0.33,12.8,0.056,44.0,169.0,0.998,3.42,0.42,9.8,6,Medium Quality,Medium Quality
0,8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.997,3.2,0.52,9.4,5,Medium Quality,Medium Quality
1,7.9,0.43,0.51,5.1,0.041,2.0,95.0,0.994,3.54,0.53,10.2,4,Medium Quality,High Quality
0,6.1,0.48,0.09,1.7,0.078,18.0,30.0,0.994,3.45,0.54,11.2,6,Medium Quality,Medium Quality
0,6.8,0.24,0.51,0.6,0.034,27.0,118.0,0.989,3.04,0.6,10.3,5,Medium Quality,Medium Quality
1,6.1,0.32,0.45,1.4,0.026,35.0,185.0,0.994,2.9,0.76,9.9,5,Medium Quality,Medium Quality
1,5.4,0.17,0.27,2.7,0.049,28.0,104.0,0.992,3.46,0.55,10.3,6,Medium Quality,Medium Quality
1,7.4,0.32,0.27,12.9,0.04,60.0,221.0,0.998,3.05,0.66,9.4,5,Medium Quality,Medium Quality
0,5.9,0.46,0.0,1.9,0.077,25.0,44.0,0.994,3.5,0.53,11.2,5,Medium Quality,Medium Quality
0,6.4,0.14,0.62,0.6,0.034,31.0,71.0,0.993,3.21,0.52,9.4,6,Medium Quality,Medium Quality
1,6.4,0.22,0.34,1.8,0.057,29.0,104.0,0.996,3.81,0.57,10.3,6,Medium Quality,Medium Quality
1,6.3,0.34,0.52,6.3,0.047,63.0,186.0,0.995,3.18,0.44,9.6,5,Medium Quality,Medium Quality
1,6.0,0.21,0.3,8.7,0.036,47.0,127.0,0.994,3.18,0.39,10.6,5,Medium Quality,Medium Quality
1,6.8,0.16,0.23,5.8,0.126,44.0,142.0,0.994,3.18,0.63,9.1,5,Medium Quality,Medium Quality
1,6.2,0.3,0.49,11.2,0.058,68.0,215.0,0.997,3.19,0.6,9.4,6,Medium Quality,Medium Quality
1,6.4,0.26,0.42,9.7,0.044,30.0,140.0,0.996,3.18,0.47,9.1,6,Medium Quality,Medium Quality
1,7.6,0.27,0.29,2.5,0.059,37.0,115.0,0.993,3.09,0.37,9.8,5,Medium Quality,Medium Quality
1,6.2,0.29,0.32,3.6,0.026,39.0,138.0,0.989,3.31,0.37,13.1,7,Medium Quality,High Quality
1,6.3,0.28,0.3,6.6,0.208,60.0,154.0,0.995,3.1,0.4,9.4,6,Medium Quality,Medium Quality
0,5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.995,3.55,0.66,10.9,6,Medium Quality,Medium Quality
1,6.6,0.16,0.3,1.6,0.034,15.0,78.0,0.992,3.38,0.44,11.2,6,Medium Quality,Medium Quality
1,5.7,0.15,0.47,11.4,0.035,49.0,128.0,0.995,3.03,0.34,10.5,8,High Quality,High Quality
0,8.2,0.72,0.51,9.8,0.012,51.0,193.0,0.998,3.52,0.46,10.7,4,Medium Quality,Low Quality
1,6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,6,Medium Quality,Medium Quality
0,7.2,0.84,0.0,2.0,0.166,4.0,11.0,0.996,3.39,0.52,10.0,5,Medium Quality,Medium Quality
0,7.7,0.54,0.35,4.2,0.05,40.0,120.0,0.994,3.37,0.66,11.1,6,Medium Quality,High Quality
0,7.6,0.79,0.21,2.3,0.087,21.0,68.0,0.996,3.12,0.44,9.2,5,Medium Quality,Medium Quality
1,8.1,0.12,0.38,0.9,0.034,36.0,86.0,0.99,2.8,0.55,12.0,6,Medium Quality,High Quality
1,6.7,0.33,0.34,6.6,0.067,35.0,156.0,0.995,3.11,0.48,9.3,6,Medium Quality,Medium Quality
1,5.9,0.26,0.4,1.3,0.047,12.0,139.0,0.994,3.45,0.53,10.4,5,Medium Quality,Medium Quality
0,7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.996,3.33,0.53,10.3,6,Medium Quality,Medium Quality
1,7.8,0.22,0.36,1.4,0.056,21.0,153.0,0.993,3.2,0.53,10.4,6,Medium Quality,Medium Quality
0,7.8,0.5,0.12,1.8,0.178,6.0,21.0,0.996,3.28,0.87,9.8,6,Medium Quality,Medium Quality
1,6.6,0.23,0.27,5.6,0.043,43.0,164.0,0.995,3.27,0.76,9.5,5,Medium Quality,Medium Quality
1,6.4,0.28,0.19,5.4,0.042,67.0,181.0,0.994,3.31,0.35,10.2,6,Medium Quality,Medium Quality
1,7.1,0.2,0.31,6.8,0.053,32.0,211.0,0.996,3.31,0.59,10.4,6,Medium Quality,Medium Quality
0,7.4,0.67,0.12,1.6,0.186,5.0,21.0,0.996,3.39,0.54,9.5,5,Medium Quality,Medium Quality
1,6.9,0.43,0.28,9.4,0.056,29.0,183.0,0.996,3.17,0.43,9.4,5,Medium Quality,Medium Quality
1,5.9,0.34,0.31,2.0,0.03,38.0,142.0,0.989,3.4,0.41,12.9,7,Medium Quality,Medium Quality
1,6.1,0.38,0.42,5.0,0.016,31.0,113.0,0.99,3.15,0.31,12.4,7,Medium Quality,High Quality
1,7.7,0.11,0.34,14.0,0.04,41.0,114.0,0.996,3.07,0.59,11.0,7,Medium Quality,Medium Quality
0,7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.996,3.2,0.56,9.6,5,Medium Quality,Medium Quality
1,5.7,0.26,0.21,0.6,0.019,24.0,85.0,0.996,3.38,0.44,10.4,5,Medium Quality,Medium Quality
1,7.2,0.26,0.3,2.1,0.033,50.0,158.0,0.991,3.33,0.43,12.1,7,Medium Quality,Medium Quality
0,4.8,0.52,0.33,6.9,0.108,41.0,74.0,0.999,3.14,0.51,13.2,5,Medium Quality,Medium Quality
0,7.2,0.3,0.33,2.5,0.068,34.0,102.0,0.994,3.27,0.78,12.8,6,Medium Quality,High Quality
1,9.9,1.0,0.46,1.4,0.046,34.0,185.0,0.997,3.02,0.49,10.2,4,Medium Quality,Low Quality
1,8.5,0.22,0.34,0.7,0.04,5.0,25.0,0.992,3.04,0.37,10.5,4,Medium Quality,Medium Quality
1,5.7,0.26,0.24,17.8,0.059,23.0,124.0,0.998,3.3,0.5,10.1,5,Medium Quality,Medium Quality
1,8.2,0.64,0.31,5.8,0.073,60.0,116.0,0.996,3.28,0.32,10.6,4,Medium Quality,Low Quality
1,6.5,0.18,0.41,14.2,0.039,47.0,129.0,0.997,3.28,0.72,10.3,7,Medium Quality,Medium Quality
0,9.4,0.34,0.34,1.6,0.023,37.0,58.0,0.998,3.32,0.63,9.3,4,Medium Quality,Medium Quality
1,7.6,0.39,0.26,7.9,0.076,10.0,62.0,0.995,3.16,0.36,11.4,3,Low Quality,Low Quality
1,5.6,0.3,0.28,6.1,0.057,52.0,153.0,0.992,3.19,0.65,11.9,5,Medium Quality,High Quality
0,6.4,0.64,0.21,1.8,0.081,14.0,31.0,0.997,3.59,0.66,9.8,5,Medium Quality,Medium Quality
1,6.6,0.24,0.33,10.1,0.032,8.0,81.0,0.996,3.19,0.51,9.8,6,Medium Quality,Medium Quality
0,7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.996,3.26,0.59,9.7,5,Medium Quality,Medium Quality
1,9.2,0.16,0.49,2.0,0.044,18.0,107.0,0.995,3.1,0.53,10.2,4,Medium Quality,Medium Quality
1,7.0,0.22,0.28,10.6,0.039,32.0,117.0,0.994,3.05,0.55,11.5,7,Medium Quality,Medium Quality
1,6.8,0.45,0.3,11.8,0.094,23.0,97.0,0.997,3.09,0.44,9.6,5,Medium Quality,Medium Quality
0,8.6,0.8,0.11,2.3,0.084,12.0,31.0,0.998,3.4,0.48,9.9,5,Medium Quality,Medium Quality
1,6.4,0.24,0.46,0.6,0.082,25.0,71.0,0.996,3.13,0.43,12.9,5,Medium Quality,High Quality
0,7.7,0.24,0.41,7.7,0.028,55.0,67.0,0.992,2.89,0.3,10.3,4,Medium Quality,Medium Quality
1,7.7,0.11,0.32,1.2,0.019,27.0,119.0,0.996,3.38,0.28,12.2,6,Medium Quality,High Quality
1,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,Medium Quality,Medium Quality
0,7.7,0.78,0.42,1.9,0.092,8.0,86.0,0.996,3.23,0.59,9.5,5,Medium Quality,Medium Quality
1,5.9,0.32,0.26,1.5,0.057,17.0,141.0,0.992,3.24,0.36,10.7,5,Medium Quality,Medium Quality
0,7.3,0.45,0.5,0.6,0.048,46.0,24.0,0.995,3.53,0.22,10.7,7,Medium Quality,Medium Quality
0,9.9,0.5,0.5,13.8,0.205,48.0,82.0,1.002,3.16,0.75,8.8,5,Medium Quality,Medium Quality
1,6.3,0.21,0.31,0.6,0.009,64.0,184.0,0.995,3.22,0.38,12.2,4,Medium Quality,Medium Quality
1,6.6,0.25,0.42,11.3,0.049,77.0,231.0,0.997,3.24,0.52,9.5,6,Medium Quality,Medium Quality
1,7.5,0.22,0.32,2.4,0.045,29.0,100.0,0.991,3.08,0.6,11.3,7,Medium Quality,Medium Quality
0,8.0,0.34,0.17,10.0,0.093,23.0,83.0,0.993,3.28,0.49,8.7,8,High Quality,Medium Quality
0,11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.999,3.06,0.72,11.0,6,Medium Quality,Medium Quality
0,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.997,3.19,0.59,9.5,5,Medium Quality,Medium Quality
1,6.7,0.49,0.28,10.9,0.009,29.0,134.0,0.994,3.23,0.73,9.0,6,Medium Quality,Medium Quality
0,7.9,0.1,0.34,0.6,0.114,39.0,40.0,0.997,3.34,0.67,11.0,6,Medium Quality,Medium Quality
1,5.8,0.2,0.16,1.4,0.042,44.0,99.0,0.989,3.23,0.37,12.2,6,Medium Quality,Medium Quality
1,6.4,0.27,0.29,3.9,0.034,62.0,140.0,0.992,3.1,0.59,11.1,6,Medium Quality,High Quality
1,7.1,0.2,0.41,2.1,0.054,24.0,166.0,0.995,3.48,0.62,10.5,6,Medium Quality,Medium Quality
0,11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.999,3.12,0.82,9.3,6,Medium Quality,Medium Quality
1,6.0,0.26,0.24,1.3,0.053,66.0,150.0,0.992,3.21,0.62,10.4,6,Medium Quality,Medium Quality
1,6.8,0.22,0.37,1.7,0.036,38.0,195.0,0.991,3.35,0.72,12.5,6,Medium Quality,Medium Quality
1,6.5,0.5,0.22,4.1,0.036,35.0,131.0,0.99,3.26,0.55,13.0,7,Medium Quality,High Quality
1,6.3,0.17,0.23,5.7,0.048,44.0,147.0,0.994,3.08,0.54,10.0,5,Medium Quality,Medium Quality
0,6.0,0.51,0.0,2.1,0.064,40.0,54.0,0.995,3.54,0.93,10.7,6,Medium Quality,Medium Quality
1,6.3,0.23,0.22,17.4,0.054,42.0,151.0,0.999,3.12,0.6,9.3,6,Medium Quality,Medium Quality
1,7.5,0.13,0.38,1.1,0.023,42.0,104.0,0.991,3.28,0.53,11.8,6,Medium Quality,High Quality
0,6.7,0.7,0.08,3.8,0.067,8.0,16.0,0.993,3.43,0.52,12.6,5,Medium Quality,Medium Quality
0,7.7,0.37,0.01,6.0,0.038,24.0,182.0,0.999,3.18,0.67,9.6,5,Medium Quality,Medium Quality
0,8.8,0.42,0.21,2.5,0.092,33.0,88.0,0.998,3.19,0.52,9.2,5,Medium Quality,Medium Quality
0,7.3,0.74,0.08,1.7,0.094,10.0,45.0,0.996,3.24,0.5,9.8,5,Medium Quality,Medium Quality
0,7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.992,3.39,0.4,12.8,6,Medium Quality,Medium Quality
0,5.6,0.92,0.0,2.1,0.041,17.0,78.0,0.993,3.68,0.73,11.4,5,Medium Quality,Medium Quality
